name,article,actualname,plural,itemid,objectclass,primarytype,slot,implemented,immobile,walkable,pickupable,levelrequired,vocrequired,imbueslots,upgradeclass,attrib,armor,weight,stackable,marketable,droppedby,value,npcvalue,npcprice,buyfrom,sellto,notes,history,defense,holdsliquid,usable,status,sounds,flavortext,duration,attack,npcvaluerook,npcpricerook,hands,weapontype,enchantable,secondarytype,volume,consumable,regenseconds,defensemod,hangable,range,atk_mod,hit_mod,blockspath,writable,writechars,fansite,words,lightradius,lightcolor,mlrequired,storevalue,damagetype,imbuements,tertiarytype,rewritable,pricecurrency,wrappable,manaleech_ch,manaleech_am,crithit_ch,critextra_dmg,hpleech_ch,hpleech_am,resist,ice_attack,augments,death_attack,fire_attack,earth_attack,manacost,damagerange,energy_attack,elementalbond,charges,destructible,location,mantra,notes2,enchanted,rotatable
Amazon Armor,an,amazon armor,amazon armors,3394,Body Equipment,Armors,Body,7.3,no,yes,yes,60,paladins,2,4,distance fighting +3,13,45.00,no,yes,Orc Warlord,"55,000,000 - 70,000,000",0,0,-,-,"It is only dropped during orc raids on [[Carlin Raids#Orc Raid on Femor Hills|Femor Hills]]. It is less rare than the [[Amazon Shield]], but still would take you 5 years on average to loot one if you killed every orc raid occurring. It is therefore extremely valuable. It is part of the [[Amazon Set]].","Although this item was implemented in [[Updates/7.3|Summer Update 2004]], it became obtainable only after [[Updates/7.4|Christmas Update 2004]] with the implementation of raids.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amazon Shield,an,amazon shield,amazon shields,3437,Body Equipment,Shields,Shield Hand,7.3,no,yes,yes,-,-,1,-,-,-,62.00,no,yes,Orc Warlord,"400,000,000+",0,0,-,-,"A rare sight on any world, since it only appears in the seldom [[Carlin Raids#Orc Raid on Femor Hills|orc raid on Femor Hills]]. On average, it is looted once every 10 years per game world if the special raid is killed 100% of the time. It has the same defence and weight as a [[Crown Shield]]. It is part of the [[Amazon Set]].","Although this item was implemented in [[Updates/7.3|Summer Update 2004]], it became obtainable only after [[Updates/7.4|Christmas Update 2004]] with the implementation of raids. The first amazon shield was looted on February 15th, 2005 in [[Tenebra]].",32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amphora,an,amphora,?,2893,Household Items,Fluid Containers,-,3.1,no,yes,yes,-,-,-,-,-,-,97.00,No,yes,Behemoth,Negotiable,0,4,"Ukea, Feizuhl, Nydala, Yoem, Hofech, Edvard, Eddy, Iwar, Peggy, Vera, Janz, Gamon, Ashtamor, Dorbin",-,"It looks the same as an [[Amphora of Grease]] and a [[Funeral Urn]].\nIt can be found at daily spawns in basement of [[Tom]]'s barn in [[Rookgaard]], [http://tibia.wikia.com/wiki/Mapper?coords{{=}}125.83,125.183,8 here].",-,-,yes,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amulet of Life,an,amulet of life,?,-,Tools and other Equipment,Amulets and Necklaces,-,7.1,no,-,yes,-,-,-,-,-,-,4.20,-,-,-,"([[Broken Amulet]]) 150.000.000,000 ~ 300.000.000,000","50,000",0,-,-,"This amulet prevented loss of all items, levels and skills, effectively nullifying the death penalties. It also would break after user's death. All of these amulets were turned into [[Broken Amulet]] in the [[Updates#Update 7.2 (Christmas 2003) December 16, 2003|Update 7.2]]. The closest replacement for this amulet is the updated version of it, the [[Amulet of Loss]].","It was introduced in the [[Update#Update 7.1 .28Christmas 2002.29. December 17.2C 2002|7.1 Update]] in December 2002. It could be purchased from [[Eremo]] for 50,000gp.\n\n== Removal ==\nIn [[Updates/7.2|December 2003]], this amulet was removed from the game. All Amulets of Life in the game were changed into [[Broken Amulet]]s, which could be sold back to [[Eremo]] for 50,000gp or kept as a collectible.\n\nThe main reason why it was removed was because of its potential to propagate power discrepancies without many consequences. For example: A high level [[sorcerer]] could cast [[Ultimate Explosion|ultimate explosion]] multiple times in a crowd and kill many players without many repercussions. For extremely wealthy guilds and players, one strategy would be to cast it repeatedly, die, equip a new amulet and immediately go back at it. This of course, was a costly, but effective strategy. After all, it had the potential to kill hundreds of players a day, potentially giving massive advantages against warring guilds' enemies. Also in the process, leaving causalities on innocent players.\n\n[[CipSoft]] removed the Amulet of Life in about a year after its release. And also introduced the [[Skull System]] as a countermeasure against [[Power Abuser|power abuse]].\n\n''Some'' of the benefits of this amulet are now achieved by wearing an [[Amulet of Loss]] or purchasing at least 5 regular [[blessings]], but there is no way to completely circumvent the death penalties.\n",-,-,-,deprecated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amulet of Loss,an,amulet of loss,?,3057,Tools and other Equipment,Amulets and Necklaces,Neck,7.2,no,yes,yes,-,-,-,-,-,-,4.20,-,yes,Blightwalker | Gaffir | Mantosaurus | Sulphider | Zorvorax | Zugurosh,"45,000 - 55,000",45000,50000,Eremo,Eremo,"Prevents [[item]] loss caused by [[Death|dying]], but breaks upon dying. Since update 8.41 buying all [[blessings]] gives the same functionality as wearing the Amulet of Loss. However, Amulet of Loss does not protect against [[Blessings#Experience and Skill loss|experience and skill loss]], which full blessings do. If you die in PVP with the [[Twist of Fate]] blessing and wearing an Amulet of Loss, you will only lose Twist of Fate.<br />\nIt does not work on [[Red Skull]]ed and [[Black Skull]]ed players. In this case it breaks and is not lootable.<br />\n[[Premium]] players can sell them to [[Free Account]] players who can not get all five blessings, for a higher price, because only [[Eremo]] sells them. They can be bought and looted on [[Hardcore PvP]] game worlds since [[Updates/8.53|Update 8.53]].<br />\nThis amulet replaced the [[Amulet of Life]], which would shield both skills and items from loss.\nIt was also possible to obtain in a [[Surprise Bag (Red)|Red Surprise Bag]] during [[Tibia's 10th Anniversary]] and [[Tibia's 15th Anniversary]] celebrations.",-,-,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ancient Amulet,an,ancient amulet,?,3025,Tools and other Equipment,Amulets and Necklaces,Neck,7.3,no,yes,yes,-,-,-,-,-,-,8.40,-,yes,Ancient Scarab | Ancient Spawn of Morgathla | Fleshcrawler | Ghazbaran | Memory of a Scarab | Morgaroth | Orshabaal | The Ravager,200,200,0,-,Rashid,Only used as decoration. Can be seen in [[Omruc]]s pharaoh room in [[Ankrahmun]].,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ancient Rune,an,ancient rune,?,3235,Other Items,Quest Items,-,7.4,no,yes,yes,-,-,-,-,-,-,3.00,-,no,Rahemos,Negotiable,0,0,-,-,Trade this item for a [[Helmet Piece]] (part of [[Helmet of the Ancients]]).,-,-,-,-,-,-,This rune vibrates with ancient powers. It seems to be rotting rapidly.,24 hours,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ancient Shield,an,ancient shield,?,3432,Body Equipment,Shields,Shield Hand,6.0,no,yes,yes,-,-,-,-,-,-,61.00,no,yes,Enslaved Dwarf | Ghost | Lich | Nightmare | Tarnished Spirit,900 - 2100,900,5000,Alesar,"Alesar, H.L.: 49","A shield used once in the past by the now undead. It somewhat resembles to the [[Viking Shield]] which can be bought in [[Edron]]. A long time ago this shield was called Kaerell Shield and was given to Kaerell guild on [[Antica]] by the [[Gods]] same as [[Rose Shield]] and [[Mercenary Shield]] was. Kaerell is a word of the Breton language (spoken in Brittany / France), and it means weasel (the animal). It was drawn by the former leader of the Kaerell guild, Mantus.\nCan be obtained by [[Unrusting]] a [[Slightly Rusted Shield]].",-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ancient Tiara,an,ancient tiara,ancient tiaras,3022,Body Equipment,Helmets,Head,7.3,no,yes,yes,-,-,2,-,-,0,8.20,-,yes,Vashresamun,"1,200,000 - 2,500,000",0,0,-,-,Can be seen on the second floor of the [[Explorer Society]] in [[Port Hope]]. This item has no armor value as it is only known for being decorative. This item is one of the [[Pharaoh Rares]] and is quite valuable as it is dropped exclusively by [[Vashresamun]] who is infrequently hunted.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ankh,an,ankh,ankhs,3077,Other Items,Magical Items,-,6.0,no,yes,yes,-,-,-,-,-,-,4.20,yes,yes,Dark Monk | Dipthrah | Fernfang | Monk (Creature) | Monk of the Order | Roaring Lion | Werelioness,"300 - 1,000",100,0,-,Yaman,Looks the same as the [[Blessed Ankh]].<br />\n20 Ankhs are needed for male [[Mage Outfits Quest]] and 20 for female [[Summoner Outfits Quest]]. There is one obtainable through [[The Desert Dungeon Quest]].,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
